City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,84.9,71,100,0.67,overcast clouds
260,Pitiquito,MX,30.7,-112.0833,69.39,17,0,1.43,clear sky
261,Lianzhou,CN,24.7811,112.3825,36.28,92,95,5.3,light rain
262,Pouembout,NC,-21.1333,164.9,79.43,85,74,3.51,broken clouds
263,Palmas,BR,-10.2128,-48.3603,76.87,88,40,9.22,scattered clouds
264,Ukiah,US,39.1502,-123.2078,65.37,37,0,1.34,clear sky
265,Husavik,IS,66.0449,-17.3389,28.31,77,23,21.14,few clouds
266,Mitsamiouli,KM,-11.3847,43.2844,81.21,72,63,5.1,broken clouds
267,Lebu,CL,-37.6167,-73.65,64.96,74,2,9.64,clear sky
268,Inyonga,TZ,-6.7167,32.0667,64.51,95,82,0.45,broken clouds
269,Chapais,CA,49.7834,-74.8492,-4.22,77,6,4.14,clear sky
270,Guanare,VE,9.0418,-69.7421,99.09,23,12,7.81,few clouds
271,Tefe,BR,-3.3542,-64.7114,82.51,78,75,8.05,broken clouds
272,Nelson Bay,AU,-32.7167,152.15,72.95,90,91,9.22,overcast clouds
273,Leme,BR,-22.1856,-47.3903,71.28,96,100,2.3,light rain
274,Clarksburg,US,39.2807,-80.3445,22.89,49,0,8.05,clear sky
275,Along,IN,28.1667,94.7667,43.65,83,1,1.63,clear sky
276,Bethel,US,41.3712,-73.414,16.84,78,100,7.0,snow
277,San Joaquin,US,37.9333,-121.3011,61.38,68,0,4.61,clear sky
278,Mahebourg,MU,-20.4081,57.7,80.89,78,40,8.05,scattered clouds
279,Windhoek,NA,-22.5594,17.0832,73.6,53,100,10.36,overcast clouds
280,Saint-Pierre,RE,-21.3393,55.4781,78.48,73,41,8.05,scattered clouds
281,La Ronge,CA,55.1001,-105.2842,8.85,66,100,2.3,overcast clouds
282,Kutum,SD,14.2,24.6667,56.66,16,29,10.07,scattered clouds
283,Smithers,CA,54.7804,-127.1743,37.72,75,75,6.91,broken clouds
284,Vanimo,PG,-2.6741,141.3028,75.97,89,100,7.85,overcast clouds
285,Coralville,US,41.6764,-91.5805,32.2,55,0,11.5,clear sky
286,Baykit,RU,61.67,96.37,-1.16,100,99,0.96,overcast clouds
287,Lourdes,FR,43.1,-0.05,31.12,86,100,4.61,overcast clouds
288,Zhanaozen,KZ,43.3,52.8,35.17,96,100,8.75,overcast clouds
289,Smithfield,US,41.922,-71.5495,19.92,94,100,8.01,heavy snow
290,Santiago,CL,-33.4569,-70.6483,85.28,40,0,10.36,clear sky
291,Matsusaka,JP,34.5667,136.5333,42.69,63,97,12.17,overcast clouds
292,Lukovetskiy,RU,64.2956,41.9211,17.58,98,100,5.97,overcast clouds
293,Portlethen,GB,57.0547,-2.1307,40.77,67,7,8.01,clear sky
294,Sonari,IN,27.0667,95.0333,53.46,80,1,1.16,clear sky
295,Potchefstroom,ZA,-26.7167,27.1,65.88,83,96,8.5,overcast clouds
296,La Asuncion,VE,11.0333,-63.8628,79.39,70,97,15.28,overcast clouds
297,Kavieng,PG,-2.5744,150.7967,81.25,77,100,7.58,moderate rain
298,Malanville,BJ,11.8685,3.3899,75.61,14,2,9.24,clear sky
299,Eureka,US,40.8021,-124.1637,61.2,63,2,4.0,clear sky
